2021 output area,mnemonic,Cannot understand spoken Welsh,% Cannot understand spoken Welsh,Can understand spoken Welsh,% Can understand spoken Welsh,2021 output area,mnemonic,Europe: United Kingdom,% Europe: United Kingdom,No passport held,% No passport held,combined uk,% combined uk,2021 output area,mnemonic,Cannot read Welsh,% cannot read Welsh,Can read Welsh,% Can read Welsh,2021 output area,mnemonic,Welsh only identity,% Welsh only identity,Welsh and British only identity,% Welsh and British only identity,Combined Welsh and British,% Combined Welsh and British
W00008779,W00008779,317,87.3,46,12.7,W00008779,W00008779,279,73.6,61,16.1,340,89.7,W00008779,W00008779,334,92.5,27,7.5,W00008779,W00008779,161,42.4,35,9.2,196,51.6
W00008780,W00008780,361,88.3,48,11.7,W00008780,W00008780,265,57.0,88,18.9,353,75.9,W00008780,W00008780,374,91.4,35,8.6,W00008780,W00008780,159,33.9,22,4.7,181,38.6
W00008781,W00008781,370,88.9,46,11.1,W00008781,W00008781,281,65.7,60,14.0,341,79.7,W00008781,W00008781,383,92.1,33,7.9,W00008781,W00008781,149,35.1,18,4.2,167,39.3
W00008782,W00008782,344,94.0,22,6.0,W00008782,W00008782,229,60.4,82,21.6,311,82.0,W00008782,W00008782,349,95.1,18,4.9,W00008782,W00008782,135,35.6,19,5.0,154,40.6
W00008784,W00008784,371,90.5,39,9.5,W00008784,W00008784,285,66.7,58,13.6,343,80.3,W00008784,W00008784,377,92.0,33,8.0,W00008784,W00008784,118,27.9,26,6.1,144,34.0
W00008785,W00008785,336,88.9,42,11.1,W00008785,W00008785,247,63.3,65,16.7,312,80.0,W00008785,W00008785,341,90.2,37,9.8,W00008785,W00008785,124,32.0,19,4.9,143,36.9
W00008786,W00008786,279,86.6,43,13.4,W00008786,W00008786,200,60.4,53,16.0,253,76.4,W00008786,W00008786,284,88.2,38,11.8,W00008786,W00008786,94,28.0,26,7.7,120,35.7
W00008788,W00008788,361,90.7,37,9.3,W00008788,W00008788,261,64.0,60,14.7,321,78.7,W00008788,W00008788,364,91.5,34,8.5,W00008788,W00008788,143,35.0,16,3.9,159,38.9
W00008789,W00008789,258,92.1,22,7.9,W00008789,W00008789,200,69.0,44,15.2,244,84.2,W00008789,W00008789,250,89.3,30,10.7,W00008789,W00008789,96,33.0,13,4.5,109,37.5
W00008790,W00008790,246,89.8,28,10.2,W00008790,W00008790,170,59.6,31,10.9,201,70.5,W00008790,W00008790,249,90.9,25,9.1,W00008790,W00008790,85,30.4,13,4.6,98,35.0
W00008791,W00008791,204,94.9,11,5.1,W00008791,W00008791,158,67.8,38,16.3,196,84.1,W00008791,W00008791,209,97.2,6,2.8,W00008791,W00008791,98,42.2,9,3.9,107,46.1
W00008792,W00008792,232,88.2,31,11.8,W00008792,W00008792,195,71.2,40,14.6,235,85.8,W00008792,W00008792,236,89.7,27,10.3,W00008792,W00008792,86,31.6,14,5.1,100,36.7
W00008794,W00008794,393,89.5,46,10.5,W00008794,W00008794,244,53.0,81,17.6,325,70.6,W00008794,W00008794,400,91.1,39,8.9,W00008794,W00008794,143,30.7,23,4.9,166,35.6
W00008795,W00008795,328,87.5,47,12.5,W00008795,W00008795,287,74.5,46,11.9,333,86.4,W00008795,W00008795,336,89.6,39,10.4,W00008795,W00008795,146,38.1,37,9.7,183,47.8
W00008797,W00008797,295,88.3,39,11.7,W00008797,W00008797,225,65.6,47,13.7,272,79.3,W00008797,W00008797,303,90.7,31,9.3,W00008797,W00008797,135,38.8,22,6.3,157,45.1
W00008798,W00008798,355,84.9,63,15.1,W00008798,W00008798,313,72.1,73,16.8,386,88.9,W00008798,W00008798,356,85.2,62,14.8,W00008798,W00008798,145,33.3,38,8.7,183,42.0
W00008799,W00008799,332,85.8,55,14.2,W00008799,W00008799,241,61.0,46,11.6,287,72.6,W00008799,W00008799,338,87.1,50,12.9,W00008799,W00008799,120,30.1,44,11.0,164,41.1
W00008800,W00008800,343,91.5,32,8.5,W00008800,W00008800,290,75.7,47,12.3,337,88.0,W00008800,W00008800,341,90.9,34,9.1,W00008800,W00008800,135,35.2,27,7.0,162,42.2
