2021 output area,mnemonic,Cannot understand spoken Welsh,% Cannot understand spoken Welsh,Can understand spoken Welsh,% Can understand spoken Welsh
W00008779,W00008779,317,87.3,46,12.7
W00008780,W00008780,361,88.3,48,11.7
W00008781,W00008781,370,88.9,46,11.1
W00008782,W00008782,344,94,22,6
W00008784,W00008784,371,90.5,39,9.5
W00008785,W00008785,336,88.9,42,11.1
W00008786,W00008786,279,86.6,43,13.4
W00008788,W00008788,361,90.7,37,9.3
W00008789,W00008789,258,92.1,22,7.9
W00008790,W00008790,246,89.8,28,10.2
W00008791,W00008791,204,94.9,11,5.1
W00008792,W00008792,232,88.2,31,11.8
W00008794,W00008794,393,89.5,46,10.5
W00008795,W00008795,328,87.5,47,12.5
W00008797,W00008797,295,88.3,39,11.7
W00008798,W00008798,355,84.9,63,15.1
W00008799,W00008799,332,85.8,55,14.2
W00008800,W00008800,343,91.5,32,8.5
W00008801,W00008801,285,86.1,46,13.9
W00008803,W00008803,324,90.3,35,9.7
W00008804,W00008804,409,86.3,65,13.7
W00008807,W00008807,377,86.9,57,13.1
W00008811,W00008811,208,88.1,28,11.9
W00008813,W00008813,206,83.1,42,16.9
W00008814,W00008814,455,93.2,33,6.8
W00008816,W00008816,381,96.5,14,3.5
W00008817,W00008817,327,96.2,13,3.8
W00008818,W00008818,475,90.8,48,9.2
W00008819,W00008819,253,91,25,9
W00008820,W00008820,515,84.4,95,15.6
W00008821,W00008821,398,82.4,85,17.6
W00008822,W00008822,285,86.6,44,13.4
W00008823,W00008823,290,87.6,41,12.4
W00008824,W00008824,383,91.2,37,8.8
W00008825,W00008825,255,90.7,26,9.3
W00008826,W00008826,314,86.5,49,13.5
W00008827,W00008827,294,91,29,9
W00008828,W00008828,280,88.3,37,11.7
W00008829,W00008829,409,89.9,46,10.1
W00008830,W00008830,280,90,31,10
W00008831,W00008831,314,88.5,41,11.5
W00008832,W00008832,210,86.4,33,13.6
W00008833,W00008833,411,85.6,69,14.4
W00008834,W00008834,264,94,17,6
W00008835,W00008835,317,91.6,29,8.4
W00008836,W00008836,239,93.7,16,6.3
W00008837,W00008837,324,87.3,47,12.7
W00008838,W00008838,218,87.9,30,12.1
W00008839,W00008839,185,92,16,8
W00008840,W00008840,326,90.3,35,9.7
W00008841,W00008841,263,92,23,8
W00008842,W00008842,358,86.7,55,13.3
W00008843,W00008843,343,93,26,7
W00008844,W00008844,268,87.9,37,12.1
W00008845,W00008845,231,89.2,28,10.8
W00008846,W00008846,195,85.2,34,14.8
W00008847,W00008847,316,93.2,23,6.8
W00008848,W00008848,251,90.3,27,9.7
W00008849,W00008849,224,90.3,24,9.7
W00008850,W00008850,357,89.2,43,10.8
W00008851,W00008851,274,92.6,22,7.4
W00008852,W00008852,194,86.6,30,13.4
W00008853,W00008853,182,66.2,93,33.8
W00008854,W00008854,219,69.5,96,30.5
W00008855,W00008855,230,75.7,74,24.3
W00008856,W00008856,193,73.4,70,26.6
W00008857,W00008857,183,70.7,76,29.3
W00008858,W00008858,172,68,81,32
W00008859,W00008859,244,70.9,100,29.1
W00008860,W00008860,161,66.3,82,33.7
W00008861,W00008861,315,86.3,50,13.7
W00008862,W00008862,181,77.4,53,22.6
W00008863,W00008863,180,78.6,49,21.4
W00008864,W00008864,219,75.5,71,24.5
W00008865,W00008865,200,78.4,55,21.6
W00008866,W00008866,150,62.5,90,37.5
W00008867,W00008867,202,70.1,86,29.9
W00008868,W00008868,215,71.2,87,28.8
W00008869,W00008869,327,78.8,88,21.2
W00008870,W00008870,234,75.7,75,24.3
W00008871,W00008871,249,72.4,95,27.6
W00008872,W00008872,215,79.9,54,20.1
W00008873,W00008873,218,71.9,85,28.1
W00008874,W00008874,259,73.2,95,26.8
W00008875,W00008875,226,61.9,139,38.1
W00008877,W00008877,219,71.3,88,28.7
W00008878,W00008878,275,68.4,127,31.6
W00008879,W00008879,170,60.1,113,39.9
W00008880,W00008880,284,77.6,82,22.4
W00008881,W00008881,284,81.4,65,18.6
W00008882,W00008882,289,81.4,66,18.6
W00008883,W00008883,244,87.1,36,12.9
W00008884,W00008884,206,80.2,51,19.8
W00008886,W00008886,208,57.3,155,42.7
W00008887,W00008887,182,58.5,129,41.5
W00008888,W00008888,194,85.5,33,14.5
W00008889,W00008889,186,63.9,105,36.1
W00008890,W00008890,186,64.4,103,35.6
W00008891,W00008891,165,75.3,54,24.7
W00008892,W00008892,161,51.6,151,48.4
W00008893,W00008893,251,73.8,89,26.2
W00008894,W00008894,214,68.8,97,31.2
W00008895,W00008895,175,65.8,91,34.2
W00008896,W00008896,160,68.4,74,31.6
W00008897,W00008897,144,75.8,46,24.2
W00008899,W00008899,421,89,52,11
W00008901,W00008901,472,88.7,60,11.3
W00008902,W00008902,465,85.5,79,14.5
W00008903,W00008903,487,87.7,68,12.3
W00008906,W00008906,385,90.4,41,9.6
W00008909,W00008909,448,87.5,64,12.5
W00008910,W00008910,558,89.7,64,10.3
W00008911,W00008911,283,88.7,36,11.3
W00008912,W00008912,477,88.7,61,11.3
W00008913,W00008913,380,88,52,12
W00008915,W00008915,408,93.8,27,6.2
W00008916,W00008916,420,89.2,51,10.8
W00008918,W00008918,414,86.8,63,13.2
W00008919,W00008919,236,89.7,27,10.3
W00008920,W00008920,413,87.3,60,12.7
W00008921,W00008921,254,85.2,44,14.8
W00008922,W00008922,476,88.3,63,11.7
W00008923,W00008923,317,78.7,86,21.3
W00008924,W00008924,439,89.6,51,10.4
W00008925,W00008925,372,85.5,63,14.5
W00008926,W00008926,283,79.5,73,20.5
W00008927,W00008927,354,84.9,63,15.1
W00008929,W00008929,339,89.7,39,10.3
W00008931,W00008931,387,87.2,57,12.8
W00008932,W00008932,479,87.1,71,12.9
W00008933,W00008933,358,88,49,12
W00008934,W00008934,204,70.3,86,29.7
W00008935,W00008935,250,79.4,65,20.6
W00008936,W00008936,209,63.1,122,36.9
W00008937,W00008937,226,75.1,75,24.9
W00008938,W00008938,226,77.4,66,22.6
W00008939,W00008939,197,74.3,68,25.7
W00008940,W00008940,178,65,96,35
W00008941,W00008941,204,81.9,45,18.1
W00008942,W00008942,160,65.8,83,34.2
