2021 output area,mnemonic,Europe: United Kingdom,% Europe: United Kingdom,No passport held,% No passport held,combined uk,% combined uk
W00008779,W00008779,279,73.6,61,16.1,340,89.7
W00008780,W00008780,265,57,88,18.9,353,75.9
W00008781,W00008781,281,65.7,60,14,341,79.7
W00008782,W00008782,229,60.4,82,21.6,311,82
W00008784,W00008784,285,66.7,58,13.6,343,80.3
W00008785,W00008785,247,63.3,65,16.7,312,80
W00008786,W00008786,200,60.4,53,16,253,76.4
W00008788,W00008788,261,64,60,14.7,321,78.7
W00008789,W00008789,200,69,44,15.2,244,84.2
W00008790,W00008790,170,59.6,31,10.9,201,70.5
W00008791,W00008791,158,67.8,38,16.3,196,84.1
W00008792,W00008792,195,71.2,40,14.6,235,85.8
W00008794,W00008794,244,53,81,17.6,325,70.6
W00008795,W00008795,287,74.5,46,11.9,333,86.4
W00008797,W00008797,225,65.6,47,13.7,272,79.3
W00008798,W00008798,313,72.1,73,16.8,386,88.9
W00008799,W00008799,241,61,46,11.6,287,72.6
W00008800,W00008800,290,75.7,47,12.3,337,88
W00008801,W00008801,227,64.7,64,18.2,291,82.9
W00008803,W00008803,285,76.2,41,11,326,87.2
W00008804,W00008804,388,77.9,42,8.4,430,86.3
W00008807,W00008807,389,88.2,24,5.4,413,93.6
W00008811,W00008811,196,81,2,0.8,198,81.8
W00008813,W00008813,184,72.4,15,5.9,199,78.3
W00008814,W00008814,408,80,33,6.5,441,86.5
W00008816,W00008816,262,60.4,57,13.1,319,73.5
W00008817,W00008817,255,73.1,32,9.2,287,82.3
W00008818,W00008818,454,84.4,34,6.3,488,90.7
W00008819,W00008819,222,78.2,46,16.2,268,94.4
W00008820,W00008820,510,82.3,91,14.7,601,97
W00008821,W00008821,457,92.7,20,4.1,477,96.8
W00008822,W00008822,270,78.3,69,20,339,98.3
W00008823,W00008823,263,76.5,64,18.6,327,95.1
W00008824,W00008824,317,72,105,23.9,422,95.9
W00008825,W00008825,209,72.3,65,22.5,274,94.8
W00008826,W00008826,302,81,54,14.5,356,95.5
W00008827,W00008827,259,77.8,65,19.5,324,97.3
W00008828,W00008828,258,79.4,55,16.9,313,96.3
W00008829,W00008829,343,71.9,67,14,410,85.9
W00008830,W00008830,260,80.2,51,15.7,311,95.9
W00008831,W00008831,294,80.3,49,13.4,343,93.7
W00008832,W00008832,189,75.9,56,22.5,245,98.4
W00008833,W00008833,355,71.4,120,24.1,475,95.5
W00008834,W00008834,195,68.4,67,23.5,262,91.9
W00008835,W00008835,235,65.6,85,23.7,320,89.3
W00008836,W00008836,160,60.8,84,31.9,244,92.7
W00008837,W00008837,287,74.2,87,22.5,374,96.7
W00008838,W00008838,171,67.3,62,24.4,233,91.7
W00008839,W00008839,105,51.7,87,42.9,192,94.6
W00008840,W00008840,260,69.5,88,23.5,348,93
W00008841,W00008841,230,76.2,65,21.5,295,97.7
W00008842,W00008842,287,68,99,23.5,386,91.5
W00008843,W00008843,280,71.6,91,23.3,371,94.9
W00008844,W00008844,243,77.1,61,19.4,304,96.5
W00008845,W00008845,198,72.3,61,22.3,259,94.6
W00008846,W00008846,150,60.7,71,28.7,221,89.4
W00008847,W00008847,235,65.6,108,30.2,343,95.8
W00008848,W00008848,216,74,75,25.7,291,99.7
W00008849,W00008849,201,77.3,51,19.6,252,96.9
W00008850,W00008850,314,76.2,74,18,388,94.2
W00008851,W00008851,227,74.9,73,24.1,300,99
W00008852,W00008852,158,68.7,60,26.1,218,94.8
W00008853,W00008853,252,87.8,28,9.8,280,97.6
W00008854,W00008854,293,91,16,5,309,96
W00008855,W00008855,224,72.7,64,20.8,288,93.5
W00008856,W00008856,231,83.4,34,12.3,265,95.7
W00008857,W00008857,209,78,38,14.2,247,92.2
W00008858,W00008858,232,87.2,27,10.2,259,97.4
W00008859,W00008859,275,78.1,58,16.5,333,94.6
W00008860,W00008860,194,77.6,25,10,219,87.6
W00008861,W00008861,304,82.2,35,9.5,339,91.7
W00008862,W00008862,177,71.1,62,24.9,239,96
W00008863,W00008863,201,84.5,25,10.5,226,95
W00008864,W00008864,257,84,25,8.2,282,92.2
W00008865,W00008865,192,73.8,51,19.6,243,93.4
W00008866,W00008866,212,83.1,22,8.6,234,91.7
W00008867,W00008867,249,81.4,34,11.1,283,92.5
W00008868,W00008868,238,75.8,36,11.5,274,87.3
W00008869,W00008869,325,75.4,63,14.6,388,90
W00008870,W00008870,270,85.2,41,12.9,311,98.1
W00008871,W00008871,270,75.6,30,8.4,300,84
W00008872,W00008872,218,77.9,26,9.3,244,87.2
W00008873,W00008873,255,80.4,35,11,290,91.4
W00008874,W00008874,263,71.1,53,14.3,316,85.4
W00008875,W00008875,314,82.6,43,11.3,357,93.9
W00008877,W00008877,278,88,19,6,297,94
W00008878,W00008878,306,69.9,66,15.1,372,85
W00008879,W00008879,252,86.3,20,6.8,272,93.1
W00008880,W00008880,286,74.9,43,11.3,329,86.2
W00008881,W00008881,279,78.2,24,6.7,303,84.9
W00008882,W00008882,291,79.9,37,10.2,328,90.1
W00008883,W00008883,222,76.8,42,14.5,264,91.3
W00008884,W00008884,179,68.1,60,22.8,239,90.9
W00008886,W00008886,345,93.2,13,3.5,358,96.7
W00008887,W00008887,285,90.2,19,6,304,96.2
W00008888,W00008888,191,82.3,32,13.8,223,96.1
W00008889,W00008889,256,85.6,20,6.7,276,92.3
W00008890,W00008890,275,92.3,14,4.7,289,97
W00008891,W00008891,194,85.1,27,11.8,221,96.9
W00008892,W00008892,295,93.4,15,4.7,310,98.1
W00008893,W00008893,300,85.7,36,10.3,336,96
W00008894,W00008894,283,88.4,28,8.8,311,97.2
W00008895,W00008895,238,85.6,22,7.9,260,93.5
W00008896,W00008896,188,79.3,33,13.9,221,93.2
W00008897,W00008897,160,83.8,17,8.9,177,92.7
W00008899,W00008899,409,86.7,17,3.6,426,90.3
W00008901,W00008901,471,88,11,2.1,482,90.1
W00008902,W00008902,436,78.4,55,9.9,491,88.3
W00008903,W00008903,494,89,27,4.9,521,93.9
W00008906,W00008906,333,77.6,19,4.4,352,82
W00008909,W00008909,453,88.3,11,2.1,464,90.4
W00008910,W00008910,570,91.2,14,2.2,584,93.4
W00008911,W00008911,256,78.3,35,10.7,291,89
W00008912,W00008912,395,72.7,22,4.1,417,76.8
W00008913,W00008913,360,83.3,20,4.6,380,87.9
W00008915,W00008915,348,79.6,15,3.4,363,83
W00008916,W00008916,389,82.2,25,5.3,414,87.5
W00008918,W00008918,393,81.7,32,6.7,425,88.4
W00008919,W00008919,224,82.4,29,10.7,253,93.1
W00008920,W00008920,398,82.7,20,4.2,418,86.9
W00008921,W00008921,221,72.7,29,9.5,250,82.2
W00008922,W00008922,429,78.7,18,3.3,447,82
W00008923,W00008923,319,77.1,31,7.5,350,84.6
W00008924,W00008924,393,79.2,30,6,423,85.2
W00008925,W00008925,383,86.5,23,5.2,406,91.7
W00008926,W00008926,300,81.7,21,5.7,321,87.4
W00008927,W00008927,366,86.7,13,3.1,379,89.8
W00008929,W00008929,301,78.2,24,6.2,325,84.4
W00008931,W00008931,360,81.1,33,7.4,393,88.5
W00008932,W00008932,473,86,17,3.1,490,89.1
W00008933,W00008933,350,85.4,15,3.7,365,89.1
W00008934,W00008934,268,89.9,22,7.4,290,97.3
W00008935,W00008935,264,80.2,63,19.1,327,99.3
W00008936,W00008936,312,92.3,14,4.1,326,96.4
W00008937,W00008937,278,89.7,27,8.7,305,98.4
W00008938,W00008938,269,89.1,21,7,290,96.1
W00008939,W00008939,244,89.1,25,9.1,269,98.2
W00008940,W00008940,260,92.9,19,6.8,279,99.7
W00008941,W00008941,233,90.7,19,7.4,252,98.1
W00008942,W00008942,226,90.8,17,6.8,243,97.6
W00008943,W00008943,354,87.8,39,9.7,393,97.5
W00008945,W00008945,243,84.7,25,8.7,268,93.4
W00008947,W00008947,241,87,11,4,252,91
W00008948,W00008948,317,92.2,12,3.5,329,95.7
W00008949,W00008949,304,92.7,19,5.8,323,98.5
W00008950,W00008950,299,78.5,57,15,356,93.5
W00008951,W00008951,372,90.7,25,6.1,397,96.8
W00008952,W00008952,293,90.4,14,4.3,307,94.7
W00008953,W00008953,329,95.4,13,3.8,342,99.2
W00008954,W00008954,283,81.6,31,8.9,314,90.5
W00008955,W00008955,332,93,15,4.2,347,97.2
W00008956,W00008956,282,91.9,10,3.3,292,95.2
W00008957,W00008957,300,88,34,10,334,98
W00008958,W00008958,248,91.9,12,4.4,260,96.3
W00008959,W00008959,303,88.3,21,6.1,324,94.4
W00008960,W00008960,337,90.3,24,6.4,361,96.7
W00008961,W00008961,313,91,14,4.1,327,95.1
W00008962,W00008962,220,84.3,20,7.7,240,92
W00008963,W00008963,286,94.4,10,3.3,296,97.7
W00008964,W00008964,239,72.6,20,6.1,259,78.7
W00008965,W00008965,324,85.3,14,3.7,338,89
W00008966,W00008966,277,89.4,8,2.6,285,92
W00008967,W00008967,99,69.2,30,21,129,90.2
W00008969,W00008969,219,76.8,19,6.7,238,83.5
W00008970,W00008970,278,90.8,9,2.9,287,93.7
W00008971,W00008971,287,85.7,24,7.2,311,92.9
W00008972,W00008972,230,66.9,59,17.2,289,84.1
W00008974,W00008974,212,75.4,16,5.7,228,81.1
W00008975,W00008975,241,88.9,18,6.6,259,95.5
W00008976,W00008976,261,78.4,32,9.6,293,88
W00008977,W00008977,326,94.8,11,3.2,337,98
W00008978,W00008978,186,84.5,17,7.7,203,92.2
W00008979,W00008979,267,92.1,12,4.1,279,96.2
W00008980,W00008980,291,93.3,13,4.2,304,97.5
W00008981,W00008981,217,67,86,26.5,303,93.5
W00008982,W00008982,193,73.7,62,23.7,255,97.4
W00008983,W00008983,242,89.3,28,10.3,270,99.6
W00008984,W00008984,317,91.9,25,7.2,342,99.1
W00008985,W00008985,290,71.4,107,26.4,397,97.8
W00008986,W00008986,228,63.9,109,30.5,337,94.4
W00008987,W00008987,233,72.4,79,24.5,312,96.9
W00008988,W00008988,229,75.1,50,16.4,279,91.5
W00008989,W00008989,283,89.8,28,8.9,311,98.7
W00008990,W00008990,246,84,47,16,293,100
W00008991,W00008991,278,89.4,25,8,303,97.4
W00008992,W00008992,235,64.7,93,25.6,328,90.3
W00008993,W00008993,188,58.9,88,27.6,276,86.5
W00008994,W00008994,181,65.1,68,24.5,249,89.6
W00008995,W00008995,243,69.4,101,28.9,344,98.3
W00008996,W00008996,204,69.9,69,23.6,273,93.5
W00008997,W00008997,168,54.4,113,36.6,281,91
W00008998,W00008998,225,72.1,55,17.6,280,89.7
W00008999,W00008999,242,65.9,95,25.9,337,91.8
W00009000,W00009000,232,64.3,109,30.2,341,94.5
