2021 output area,mnemonic,Cannot read Welsh,% cannot read Welsh,Can read Welsh,% Can read Welsh
W00008779,W00008779,334,92.5,27,7.5
W00008780,W00008780,374,91.4,35,8.6
W00008781,W00008781,383,92.1,33,7.9
W00008782,W00008782,349,95.1,18,4.9
W00008784,W00008784,377,92,33,8
W00008785,W00008785,341,90.2,37,9.8
W00008786,W00008786,284,88.2,38,11.8
W00008788,W00008788,364,91.5,34,8.5
W00008789,W00008789,250,89.3,30,10.7
W00008790,W00008790,249,90.9,25,9.1
W00008791,W00008791,209,97.2,6,2.8
W00008792,W00008792,236,89.7,27,10.3
W00008794,W00008794,400,91.1,39,8.9
W00008795,W00008795,336,89.6,39,10.4
W00008797,W00008797,303,90.7,31,9.3
W00008798,W00008798,356,85.2,62,14.8
W00008799,W00008799,338,87.1,50,12.9
W00008800,W00008800,341,90.9,34,9.1
W00008801,W00008801,297,89.7,34,10.3
W00008803,W00008803,329,91.6,30,8.4
W00008804,W00008804,424,88.9,53,11.1
W00008807,W00008807,378,87.1,56,12.9
W00008811,W00008811,206,87.3,30,12.7
W00008813,W00008813,210,85.4,36,14.6
W00008814,W00008814,456,93.3,33,6.7
W00008816,W00008816,379,95.2,19,4.8
W00008817,W00008817,317,93.2,23,6.8
W00008818,W00008818,472,90.6,49,9.4
W00008819,W00008819,257,93.1,19,6.9
W00008820,W00008820,528,86.6,82,13.4
W00008821,W00008821,415,85.9,68,14.1
W00008822,W00008822,293,89.1,36,10.9
W00008823,W00008823,295,89.1,36,10.9
W00008824,W00008824,391,93.3,28,6.7
W00008825,W00008825,261,92.9,20,7.1
W00008826,W00008826,324,89.5,38,10.5
W00008827,W00008827,298,92.3,25,7.7
W00008828,W00008828,292,92.1,25,7.9
W00008829,W00008829,414,91,41,9
W00008830,W00008830,280,90,31,10
W00008831,W00008831,319,89.9,36,10.1
W00008832,W00008832,215,88.5,28,11.5
W00008833,W00008833,431,89.8,49,10.2
W00008834,W00008834,270,96.1,11,3.9
W00008835,W00008835,296,85.5,50,14.5
W00008836,W00008836,230,90.2,25,9.8
W00008837,W00008837,328,88.9,41,11.1
W00008838,W00008838,225,90.7,23,9.3
W00008839,W00008839,186,91.6,17,8.4
W00008840,W00008840,327,90.6,34,9.4
W00008841,W00008841,269,94.1,17,5.9
W00008842,W00008842,371,90,41,10
W00008843,W00008843,347,94,22,6
W00008844,W00008844,272,89.2,33,10.8
W00008845,W00008845,233,90,26,10
W00008846,W00008846,205,88.7,26,11.3
W00008847,W00008847,316,93.2,23,6.8
W00008848,W00008848,253,91,25,9
W00008849,W00008849,226,91.9,20,8.1
W00008850,W00008850,365,90.8,37,9.2
W00008851,W00008851,281,95.3,14,4.7
W00008852,W00008852,201,89.7,23,10.3
W00008853,W00008853,196,71,80,29
W00008854,W00008854,229,72.2,88,27.8
W00008855,W00008855,238,77.8,68,22.2
W00008856,W00008856,201,76.1,63,23.9
W00008857,W00008857,194,74.9,65,25.1
W00008858,W00008858,186,73.5,67,26.5
W00008859,W00008859,253,73.8,90,26.2
W00008860,W00008860,174,71.6,69,28.4
W00008861,W00008861,317,86.8,48,13.2
W00008862,W00008862,182,77.1,54,22.9
W00008863,W00008863,188,82.1,41,17.9
W00008864,W00008864,237,81.7,53,18.3
W00008865,W00008865,204,80.6,49,19.4
W00008866,W00008866,164,68.3,76,31.7
W00008867,W00008867,218,75.7,70,24.3
W00008868,W00008868,226,74.8,76,25.2
W00008869,W00008869,349,84.3,65,15.7
W00008870,W00008870,244,79,65,21
W00008871,W00008871,254,73.8,90,26.2
W00008872,W00008872,229,84.8,41,15.2
W00008873,W00008873,225,74.3,78,25.7
W00008874,W00008874,264,74.8,89,25.2
W00008875,W00008875,235,64.4,130,35.6
W00008877,W00008877,227,73.7,81,26.3
W00008878,W00008878,301,74.9,101,25.1
W00008879,W00008879,184,64.8,100,35.2
W00008880,W00008880,285,78.3,79,21.7
W00008881,W00008881,284,81.4,65,18.6
W00008882,W00008882,309,86.6,48,13.4
W00008883,W00008883,252,90,28,10
W00008884,W00008884,240,93.4,17,6.6
W00008886,W00008886,223,60.9,143,39.1
W00008887,W00008887,192,61.7,119,38.3
W00008888,W00008888,199,88.1,27,11.9
W00008889,W00008889,200,68.5,92,31.5
W00008890,W00008890,185,64,104,36
W00008891,W00008891,175,79.9,44,20.1
W00008892,W00008892,163,52.2,149,47.8
W00008893,W00008893,266,79.2,70,20.8
W00008894,W00008894,216,69.5,95,30.5
W00008895,W00008895,182,68.4,84,31.6
W00008896,W00008896,169,72.2,65,27.8
W00008897,W00008897,154,81.1,36,18.9
W00008899,W00008899,418,88.4,55,11.6
W00008901,W00008901,467,87.8,65,12.2
W00008902,W00008902,471,86.6,73,13.4
W00008903,W00008903,490,88.3,65,11.7
W00008906,W00008906,387,91.3,37,8.7
W00008909,W00008909,451,87.9,62,12.1
W00008910,W00008910,562,90.4,60,9.6
W00008911,W00008911,283,88.7,36,11.3
W00008912,W00008912,479,89.2,58,10.8
W00008913,W00008913,379,87.7,53,12.3
W00008915,W00008915,407,93.6,28,6.4
W00008916,W00008916,426,90.3,46,9.7
W00008918,W00008918,418,87.4,60,12.6
W00008919,W00008919,239,90.9,24,9.1
W00008920,W00008920,416,87.8,58,12.2
W00008921,W00008921,260,87.2,38,12.8
W00008922,W00008922,473,88.1,64,11.9
W00008923,W00008923,334,82.9,69,17.1
W00008924,W00008924,437,89.2,53,10.8
W00008925,W00008925,383,88,52,12
W00008926,W00008926,293,82.8,61,17.2
W00008927,W00008927,357,86,58,14
W00008929,W00008929,330,87.3,48,12.7
W00008931,W00008931,386,86.9,58,13.1
W00008932,W00008932,479,87.1,71,12.9
W00008933,W00008933,363,89,45,11
W00008934,W00008934,213,73.7,76,26.3
W00008935,W00008935,264,84.1,50,15.9
W00008936,W00008936,234,70.7,97,29.3
W00008937,W00008937,233,77.4,68,22.6
W00008938,W00008938,234,80.4,57,19.6
W00008939,W00008939,215,81.1,50,18.9
W00008940,W00008940,191,69.7,83,30.3
W00008941,W00008941,211,84.7,38,15.3
W00008942,W00008942,174,71,71,29
W00008943,W00008943,353,90.3,38,9.7
W00008945,W00008945,237,85.6,40,14.4
W00008947,W00008947,241,88.3,32,11.7
