2021 output area,mnemonic,Welsh only identity,% Welsh only identity,Welsh and British only identity,% Welsh and British only identity,Combined Welsh and British,% Combined Welsh and British
W00008779,W00008779,161,42.4,35,9.2,196,51.6
W00008780,W00008780,159,33.9,22,4.7,181,38.6
W00008781,W00008781,149,35.1,18,4.2,167,39.3
W00008782,W00008782,135,35.6,19,5,154,40.6
W00008784,W00008784,118,27.9,26,6.1,144,34
W00008785,W00008785,124,32,19,4.9,143,36.9
W00008786,W00008786,94,28,26,7.7,120,35.7
W00008788,W00008788,143,35,16,3.9,159,38.9
W00008789,W00008789,96,33,13,4.5,109,37.5
W00008790,W00008790,85,30.4,13,4.6,98,35
W00008791,W00008791,98,42.2,9,3.9,107,46.1
W00008792,W00008792,86,31.6,14,5.1,100,36.7
W00008794,W00008794,143,30.7,23,4.9,166,35.6
W00008795,W00008795,146,38.1,37,9.7,183,47.8
W00008797,W00008797,135,38.8,22,6.3,157,45.1
W00008798,W00008798,145,33.3,38,8.7,183,42
W00008799,W00008799,120,30.1,44,11,164,41.1
W00008800,W00008800,135,35.2,27,7,162,42.2
W00008801,W00008801,143,40.6,20,5.7,163,46.3
W00008803,W00008803,125,33.2,29,7.7,154,40.9
W00008804,W00008804,192,38.3,40,8,232,46.3
W00008807,W00008807,198,44.4,29,6.5,227,50.9
W00008811,W00008811,71,29.5,14,5.8,85,35.3
W00008813,W00008813,78,30.8,25,9.9,103,40.7
W00008814,W00008814,109,21.2,43,8.4,152,29.6
W00008816,W00008816,70,16.2,23,5.3,93,21.5
W00008817,W00008817,89,25.4,20,5.7,109,31.1
W00008818,W00008818,114,21.1,39,7.2,153,28.3
W00008819,W00008819,159,56,28,9.9,187,65.9
W00008820,W00008820,419,67.3,47,7.5,466,74.8
W00008821,W00008821,334,67.7,52,10.5,386,78.2
W00008822,W00008822,232,67.4,37,10.8,269,78.2
W00008823,W00008823,219,63.5,29,8.4,248,71.9
W00008824,W00008824,290,66.2,33,7.5,323,73.7
W00008825,W00008825,182,63,32,11.1,214,74.1
W00008826,W00008826,245,65,29,7.7,274,72.7
W00008827,W00008827,192,58,46,13.9,238,71.9
W00008828,W00008828,233,71.7,24,7.4,257,79.1
W00008829,W00008829,281,58.9,39,8.2,320,67.1
W00008830,W00008830,205,63.7,22,6.8,227,70.5
W00008831,W00008831,228,62.5,23,6.3,251,68.8
W00008832,W00008832,166,66.4,29,11.6,195,78
W00008833,W00008833,310,61.8,56,11.2,366,73
W00008834,W00008834,148,52.3,26,9.2,174,61.5
W00008835,W00008835,193,54.2,30,8.4,223,62.6
W00008836,W00008836,123,46.9,23,8.8,146,55.7
W00008837,W00008837,273,70.5,39,10.1,312,80.6
W00008838,W00008838,166,65.4,20,7.9,186,73.3
W00008839,W00008839,114,55.6,9,4.4,123,60
W00008840,W00008840,223,59.8,23,6.2,246,66
W00008841,W00008841,191,63.7,29,9.7,220,73.4
W00008842,W00008842,273,64.7,40,9.5,313,74.2
W00008843,W00008843,243,62.1,34,8.7,277,70.8
W00008844,W00008844,209,66.6,40,12.7,249,79.3
W00008845,W00008845,173,63.1,31,11.3,204,74.4
W00008846,W00008846,143,57.9,24,9.7,167,67.6
W00008847,W00008847,228,63.7,41,11.5,269,75.2
W00008848,W00008848,169,57.3,33,11.2,202,68.5
W00008849,W00008849,156,60.7,16,6.2,172,66.9
W00008850,W00008850,277,67.2,25,6.1,302,73.3
W00008851,W00008851,176,57.7,27,8.9,203,66.6
W00008852,W00008852,120,52.4,35,15.3,155,67.7
W00008853,W00008853,209,73.1,12,4.2,221,77.3
W00008854,W00008854,196,60.5,23,7.1,219,67.6
W00008855,W00008855,189,61,15,4.8,204,65.8
W00008856,W00008856,145,52,19,6.8,164,58.8
W00008857,W00008857,163,60.1,10,3.7,173,63.8
W00008858,W00008858,149,56,25,9.4,174,65.4
W00008859,W00008859,173,49.4,31,8.9,204,58.3
W00008860,W00008860,112,45.9,15,6.1,127,52
W00008861,W00008861,199,53.8,18,4.9,217,58.7
W00008862,W00008862,156,62.4,18,7.2,174,69.6
W00008863,W00008863,104,43.2,23,9.5,127,52.7
W00008864,W00008864,127,41.8,31,10.2,158,52
W00008865,W00008865,132,50.2,22,8.4,154,58.6
W00008866,W00008866,137,53.5,14,5.5,151,59
W00008867,W00008867,151,49.3,31,10.1,182,59.4
W00008868,W00008868,181,56.7,18,5.6,199,62.3
W00008869,W00008869,182,42.2,40,9.3,222,51.5
W00008870,W00008870,212,67.1,18,5.7,230,72.8
W00008871,W00008871,170,47.6,30,8.4,200,56
W00008872,W00008872,149,53.4,18,6.5,167,59.9
W00008873,W00008873,165,52.4,30,9.5,195,61.9
W00008874,W00008874,192,51.8,18,4.9,210,56.7
W00008875,W00008875,213,55.5,16,4.2,229,59.7
W00008877,W00008877,148,47.3,24,7.7,172,55
W00008878,W00008878,172,39.5,35,8,207,47.5
W00008879,W00008879,168,57.7,30,10.3,198,68
W00008880,W00008880,169,44.1,25,6.5,194,50.6
W00008881,W00008881,145,40.8,26,7.3,171,48.1
W00008882,W00008882,177,48.6,35,9.6,212,58.2
W00008883,W00008883,151,51.9,42,14.4,193,66.3
W00008884,W00008884,105,39.9,20,7.6,125,47.5
W00008886,W00008886,243,65.1,26,7,269,72.1
W00008887,W00008887,152,48.6,37,11.8,189,60.4
W00008888,W00008888,127,54.7,24,10.3,151,65
W00008889,W00008889,151,50.5,29,9.7,180,60.2
W00008890,W00008890,172,57.3,28,9.3,200,66.6
W00008891,W00008891,118,52.2,16,7.1,134,59.3
W00008892,W00008892,217,68.2,20,6.3,237,74.5
W00008893,W00008893,188,53.6,31,8.8,219,62.4
W00008894,W00008894,206,64.8,21,6.6,227,71.4
W00008895,W00008895,148,53.6,13,4.7,161,58.3
W00008896,W00008896,130,54.6,14,5.9,144,60.5
W00008897,W00008897,103,53.6,9,4.7,112,58.3
W00008899,W00008899,131,27.5,12,2.5,143,30
W00008901,W00008901,116,21.7,9,1.7,125,23.4
W00008902,W00008902,183,33,28,5.1,211,38.1
W00008903,W00008903,147,26.3,16,2.9,163,29.2
W00008906,W00008906,97,22.4,14,3.2,111,25.6
W00008909,W00008909,151,29.3,11,2.1,162,31.4
W00008910,W00008910,119,19.1,15,2.4,134,21.5
W00008911,W00008911,91,27.9,17,5.2,108,33.1
W00008912,W00008912,129,23.8,15,2.8,144,26.6
W00008913,W00008913,74,17.1,17,3.9,91,21
